volume peso recompensa duração(s) 
13 9 820 552
13 9 1857 1017
9 13 211 1039
9 13 1442 168
6 19 1185 822
19 6 1813 756
19 6 1204 453
6 19 486 789
6 19 1591 138
6 19 996 631
6 19 406 430
6 19 1243 977
19 6 217 732
19 6 324 237
19 6 1108 1031
7 16 789 650
7 16 764 617
10 10 1285 483
10 10 1856 576
10 10 553 631
10 10 588 654
16 6 755 874
6 16 1023 132
16 6 1332 642
16 6 1907 397
16 6 1188 697
6 16 618 1039
6 16 647 872
7 13 734 917
7 13 1210 414
7 13 898 325
9 9 427 447
9 9 1137 1019
13 6 1062 195
13 6 1475 889
13 6 223 597
6 13 1713 686
13 6 1699 1020
13 6 490 406
6 13 1201 715
13 6 1987 926
13 6 580 558
10 7 1801 301
7 10 1630 963
7 10 801 919
7 10 1672 419
3 23 697 699
23 3 1396 143
3 23 571 632
3 23 1410 1028
22 3 338 357
3 22 1768 195
22 3 1492 283
3 22 1662 201
22 3 1565 763
22 3 480 1037
3 22 940 937
10 6 542 430
3 20 1263 905
10 6 1765 970
3 20 1645 316
6 10 713 921
6 10 465 900
3 20 1434 362
20 3 1785 160
6 10 1572 528
10 6 1747 577
3 19 754 984
19 3 784 755
3 19 585 827
19 3 522 1009
3 19 1432 1051
19 3 1547 279
19 3 638 618
19 3 762 269
3 19 901 980
3 19 600 422
3 19 952 540
3 19 1928 713
19 3 1814 369
19 3 1982 619
9 6 1467 681
9 6 748 381
7 7 828 643
7 7 1524 189
7 7 501 800
3 16 220 351
3 16 1105 256
16 3 262 658
16 3 704 1025
16 3 836 819
16 3 477 194
3 16 1391 846
3 16 1456 192
16 3 227 464
3 16 753 124
3 16 501 692
16 3 279 744
3 16 1796 762
16 3 1518 1053
3 13 685 443
13 3 455 292
3 13 1502 270
13 3 203 818
3 13 1210 892
3 13 1313 1080
13 3 795 302
13 3 699 1056
3 13 1907 307
13 3 621 723
3 13 1889 538
3 13 751 234
3 13 530 916
3 13 1306 202
13 3 690 686
3 13 472 300
3 13 355 737
3 13 633 583
13 3 466 937
6 6 1445 1014
6 6 779 122
6 6 1058 294
6 6 564 1017
6 6 1921 197
6 6 442 900
6 6 631 145
3 10 1475 786
3 10 579 103
10 3 547 766
3 10 984 463
10 3 1641 417
10 3 1886 632
3 10 1791 520
3 9 1558 1056
3 7 1565 226
7 3 1823 958
7 3 1607 273
6 3 1176 551
6 3 615 970
6 3 1347 609
6 3 453 537
3 3 575 287
3 3 715 977
3 3 1563 535
3 3 355 869
3 3 699 786
