id volume peso recompensa duração(s) 
417 3 23 1410 1028
418 19 6 1108 1031
419 6 26 1291 1035
420 22 3 480 1037
421 29 10 483 1038
422 6 16 618 1039
423 9 13 211 1039
424 23 20 1786 1041
425 23 16 1918 1042
426 7 20 1577 1043
427 26 19 1397 1043
428 22 22 626 1048
429 3 19 1432 1051
430 23 26 1594 1052
431 16 3 1518 1053
432 26 19 244 1055
433 13 3 699 1056
434 25 13 546 1056
435 3 9 1558 1056
436 22 28 347 1058
437 13 25 1467 1058
438 16 10 1081 1064
439 13 26 1073 1066
440 25 13 609 1070
441 26 6 1156 1073
442 16 26 1789 1077
443 16 20 816 1079
444 3 13 1313 1080
445 10 23 1205 1088
446 16 28 875 1094
447 10 29 1488 1094
448 29 19 1268 1095
449 26 22 1165 1100
450 16 16 527 1100
